ngapak,indonesia,contributor,source_type,source_detail,notes
angon,menggembala,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
angot,mengantuk,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
angsu,minum,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
angud,membimbing,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
angus,terbakar,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
angut,mengangguk,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
anjlog,melompat dari atas ke bawah,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
anjlok,jatuh,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
anjog,sampai,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
antep,serius,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
antob,sendawa,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
anyar,baru,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
anyut,hanyut,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
apah,apa,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
apiké,bagusnya,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
apuh,rapuh,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
apung,terapung,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
apuran,campuran,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
aran,nama,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
arang,jarang,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
areng,arang,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
arep,ingin,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
arepake,membuat,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
arepke,melakukan,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
arepna,maunya,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
aring,jernih,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
arip,ngantuk,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
arom,haram,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
asah,mengasah,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
asap,asap,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
aseng,ajak / mengajak,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
asih,kasih,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
asor,rendah,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
asrep,sejuk,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
asrepan,sejuk,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
asring,sering,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
asu,anjing,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
asung,memberi,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
asup,masuk,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
ateng,datang,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
ater,naik,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
ati,hati,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
atis,dingin,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
atuh,jatuh,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
atus,seratus,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
atut,teratur,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
aub,teduh,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
awak,badan,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
awan,siang,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
aweh,memberi,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
awit,sejak,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
awon,buruk,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
awoné,buruknya,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
awor,campur,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
awur,acak,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
awut,berantakan,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
ayem,tenang,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
ayid,licin berlendir,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
ayu,cantik,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
ayuh,ayo,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
babak,tahap,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
babakan,awal,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
babar,membuka,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
babar pisan,sama sekali,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
babaran,kelahiran,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
babat,membabat,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
bablas,terlewat,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
bablasan,terlewat jauh,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
babon,induk,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
baboné,induknya,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
baca,membaca,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
bacem,masakan manis,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
baceman,melahirkan,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
bacin,bau tidak sedap,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
bacok,membacok,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
bada-budu,menggerutu,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
badar,berserakan,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
badeg,minuman tape,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
badhe,akan,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
badheg,nira kelapa,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
badhog,makan (kasar),project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
badhut,badut,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
bae,saja,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
