ngapak,indonesia,contributor,source_type,source_detail,notes
dol,jual,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
dolan,main / jalan,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
dolog,pelan,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
dopok,gosip,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
drememel,bicara terus,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
dudu,bukan,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
dunya,harta benda,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
durung,belum,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
duwe,punya,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
dénéng,di sana,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
edan,gila,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
eling,ingat,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
eman,sayang,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
emoh,tidak mau,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
emut/kemutan,ingat,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
endhas,kepala,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
endhep,rendah,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
endhong,mampir,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
endi,mana,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
engan,kaget,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
enggal,sebentar lagi,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
engkrek,berjalan semangat,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
enteni,tunggu,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
entong,habis,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
ereg/pereg,dekat,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
eri,duri,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
esat,surut,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
esih,masih,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
esog,meletakkan,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gaba,batang padi,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gabal,gumpalan,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gableg,punya / mampu,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gabrug,jatuh keras,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gacuk,cocok,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gadhang,memegang,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gadhuh,memelihara,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gagas,memikirkan,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gage,cepat,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gagrag,gaya,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gagrag anyar,gaya baru,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gajih,lemak,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gajul,menendang ujung kaki,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
galar,alas bambu,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
galek,mencari,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
galeng,pematang sawah,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
galing,miring,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
galo,campur,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
galur,garis keturunan,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gaman,senjata,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gamblok,menempel,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gamet,alat musik,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gampeng,gampang,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gampil,mudah,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gampol,memukul,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gancet,tersangkut,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gandar,poros roda,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gandeng,menggandeng,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gandheng,berkaitan,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gandhul,pepaya,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gandrung,sangat suka,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gandul,buah kecil,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
ganep,genap,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
ganggu,mengganggu,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gangsir,serangga,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
ganjel,mengganjal,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gantheng,tampan,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
ganthil,terkait,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gantung,tergantung,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
ganu,dulu,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
ganyong,umbi,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gapyuk,bertemu,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
garan,gagang,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
garang,galak,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
garap,mengerjakan,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gareng,tokoh wayang,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
garing,tinggal sedikit,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
garis,garis,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
garuk,menggaruk,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gasak,mengambil paksa,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gasik,pagi,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gathuk,cocok,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gatra,baris puisi,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gawe,membuat,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gayeng,ramai,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gayuh,meraih,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gayung,alat air,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
geblag,jatuh,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
geblak,memukul keras,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gebug,memukul,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gebyar,ramai sekali,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gebyur,menciprat air,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gecek,menghitung uang,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gecok,cekcok,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gedang,pisang,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gedebuk,jatuh keras,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gedeg,dinding bambu,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gedhagar-dhagar,terburu-buru,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gedig,pukul,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gedrug,bunyi keras,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gedug,memukul keras,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
geger,ramai ribut,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gegeran,keributan,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
geguyu,tertawa,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gejig,linggis,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gejlig,jatuh mendadak,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gejlok,turun drastis,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gejog,memukul,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gejret,bunyi petikan,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gela,kesal,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gelagapan,kebingungan,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
geleser,bergeser,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gelis,cepat,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gelut,berkelahi,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gemagus,sok ganteng,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gembel,kumuh,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gembeleng,sombong,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gembira,senang,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gemblung,gila,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gembol,membawa,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gembong,pemimpin,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gembor,ember besar,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gembridig,berduyun-duyun,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gembrot,gemuk,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gembulung,gila,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gembus,donat singkong,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gemedhe,sombong,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gemilang,cerah,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
geming,diam,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gemiyen,dulu,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gemoy,lucu,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gempal,padat,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gempur,menyerang,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
genah,jelas,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
genap,genap,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gencar,intens,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gencet,menekan,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gencok,benturan,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gendhul rasa,berbagi cerita,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gendul,botol,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
genggam,memegang,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gengsi,malu,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
geni,api,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
genjer,tumbuhan air,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
genjot,menginjak,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
genuk,gendut,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
genyem,makan ringan,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gepok,memukul,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gerah,sakit,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
geredeg,berdebar,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gerem,mengerem,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gereng,mengerang,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
geret,menarik,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gerombol,berkumpul,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gerot,menggerogoti,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gersang,kering,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
geruduk,mendatangi,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gesang,hidup,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gesek,ikan asin,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
geseng,gosong,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
geser,bergeser,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gesit,lincah,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gesrek,gesekan,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
getak,ketukan,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
getar,bergetar,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
getas,rapuh,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gethak,jitak,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gething,tidak suka,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
getok,memukul,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
getol,rajin,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
getun,menyesal,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gigal,jatuh,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gigu,jijik,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gili,jalan,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gilig,bulat,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
giling,menggiling,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gilut,mengunyah,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gimbal,rambut kusut,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gimbleh,berantakan,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gincu,lipstik,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
ginding,tembok,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
ginuk,gemuk,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gipis,tipis,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
girang,senang,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
giri-giri,terburu-buru,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
giring,mengarahkan,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
girip,takut,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gisik,pantai,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
githir,cepat,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
githok,tengkuk,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
githu,begitu,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
giwing,dataran tinggi,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
giyeng,ramai,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gladak,lantai kayu,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
glagah,rumput,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
glali,keliling,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
glathak,pagar bambu,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
glebag,jatuh,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gleber,terbuka,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gledek,petir,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
glembung,gelembung,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
glepung,tepung beras,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
glidhig,pembawa makanan hajatan,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
glimpang,jatuh,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
glinding,menggelinding,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gludug,petir,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
glugu,pohon kelapa,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
glundhung,berguling,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
glundung,bundar,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gluyu,licin,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
godhong,daun,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gogrok,jatuh,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
golak,nyelentik,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
golet,cari,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
golong,jalan kecil,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
golèk,mencari,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gombal,kain bekas,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gombel,hantu,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gombloh,bodoh,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gombong,bohong,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gombyok,terurai,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gondhel,memegang,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gondok,leher bengkak,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gondrong,rambut panjang,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gonjang,guncang,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gonjrang,ramai,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gori,bakal buah nangka,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
goroh,bohong,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gotek,melamar,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gotong,angkat,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
grabag-grubug,tergesa-gesa,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gragas,rakus,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
grajih,gergaji,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
grapyak,ramah,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
greget,semangat,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gremet,gemetar,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
grengseng,kering,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
grimis,hujan ringan,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
grobak,gerobak,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
grobyok,ramai,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
grogol,batuk,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
grombol,berkumpul,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
grombyang,berantakan,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
grompol,berkelompok,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gronjal,berlubang,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gropyok,menggerebek,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gudel,anak kerbau,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gugah,membangunkan,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gujih,cerewet,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gulung,menggulung,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gumbrang,jatuh,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gumelar,terbuka,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gumregah,semangat,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gumregut,bergerak,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gumun,heran,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
guncang,bergoyang,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gundhuk,bukit kecil,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gundhul,botak,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gunem,bicara,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gupak,kotor,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gupit,sempit,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gupuh,terburu,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gurat,goresan,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gurem,kutu kecil,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
guring,tidur,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gurit,gores,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
guruh,gemuruh,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gusur,memindahkan,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
gutul,sampai,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
guyon,bercanda,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
guyub,rukun,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
guyur,mengguyur,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
habotan,kesulitan,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
halah,kata seru,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
halaholo,bingung,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
hesek,gesek,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
hiyeng,ramai,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
hodo,makan banyak,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
hodog,merebus,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
